step,env,gait,vx_cmd,bvx,bvy,yaw_deg,ct_FL,ct_FR,ct_RL,ct_RR,cpg_r_FL,cpg_r_FR,cpg_r_RL,cpg_r_RR,cpg_theta_FL,cpg_theta_FR,cpg_theta_RL,cpg_theta_RR,FL_hip,FL_thigh,FL_calf,FR_hip,FR_thigh,FR_calf,RL_hip,RL_thigh,RL_calf,RR_hip,RR_thigh,RR_calf
1,0,walk,0.5,0.0033085558097809553,0.008319681510329247,0.006330313037765707,0,0,0,0,1.1497722864151,1.2091349363327026,1.2191237211227417,1.2339892387390137,1.4860092401504517,0.35278910398483276,4.888229846954346,3.355259895324707,1.1623854637145996,5.868766784667969,-13.611104965209961,0.34342801570892334,2.382835626602173,-6.588263034820557,0.6807900071144104,-0.013924648985266685,-2.20090389251709,0.5568529963493347,-0.3339126706123352,-1.787668228149414
2,0,walk,0.5,-0.0001554289337946102,0.016415752470493317,-0.0021193967771553804,0,0,0,1,1.3718417882919312,1.4669333696365356,1.4613341093063354,1.365161418914795,1.5292493104934692,0.2387620359659195,5.1853742599487305,3.4787211418151855,-0.5319274663925171,5.969627857208252,-8.20655632019043,0.4562464654445648,1.6216681003570557,-6.271608352661133,0.7135185599327087,-1.3243272304534912,-1.0594295263290405,0.8998785614967346,-2.194441080093384,0.2558978796005249
3,0,walk,0.5,0.004438485484570265,0.029449516907334328,0.0028747448711642118,0,0,1,0,1.5115960836410522,1.6774073839187622,1.6554362773895264,1.4757188558578491,1.6791167259216309,0.214789479970932,5.539334774017334,3.654020071029663,-2.0271079540252686,5.385801792144775,-4.251806259155273,0.5467877984046936,1.4297616481781006,-5.731815814971924,0.9131483435630798,-1.437660574913025,-0.8501332402229309,2.582017660140991,-4.556282043457031,1.1689913272857666
4,0,walk,0.5,0.02277274988591671,0.04771861433982849,0.03197762834794396,0,1,0,0,1.6424733400344849,1.8162322044372559,1.7972586154937744,1.644538402557373,1.9008945226669312,0.11904431134462357,6.0086870193481445,3.8501670360565186,-2.25704288482666,3.182286500930786,-1.707617998123169,0.7925066351890564,0.15400150418281555,0.7668800354003906,-0.9361878633499146,-0.849903404712677,1.5222790241241455,2.932732105255127,-5.212612628936768,0.7977120280265808
5,0,walk,0.5,0.04168067127466202,0.07027141004800797,0.07299313109233539,0,1,0,0,1.7519516944885254,1.8992950916290283,1.8865137100219727,1.784238338470459,2.127215623855591,6.258007526397705,0.21058467030525208,4.016440391540527,-1.5066008567810059,-0.05524035915732384,0.3403747081756592,1.3086987733840942,-0.8127621412277222,-0.3802233934402466,-1.6282362937927246,1.9514656066894531,-0.829444944858551,2.8520519733428955,-4.633969783782959,0.36619508266448975
6,0,walk,0.5,0.0654381513595581,0.10455602407455444,0.17853682267504917,0,1,0,0,1.8358831405639648,1.9462828636169434,1.9249942302703857,1.876863718032837,2.3206231594085693,6.1746721267700195,0.6340689063072205,4.236093521118164,-1.040181040763855,-3.188314199447632,1.9027353525161743,1.5778205394744873,-0.5487403273582458,0.7358543276786804,-1.9078090190887451,5.31781530380249,-5.92290735244751,2.2606866359710693,-3.082130193710327,-0.016177063807845116
7,0,walk,0.5,0.06880012899637222,0.13115955889225006,0.4324804812517729,1,1,0,0,1.9016419649124146,1.9719105958938599,1.8910365104675293,1.9324378967285156,2.5251026153564453,6.215203285217285,0.9805259704589844,4.508998394012451,0.661854088306427,0.34382686018943787,-0.2802833616733551,0.7337586879730225,-0.21261656284332275,1.444313406944275,-2.1440258026123047,5.542447566986084,-7.629641056060791,0.936796247959137,-0.9182833433151245,-0.349221408367157
8,0,walk,0.5,0.043485261499881744,0.12162331491708755,0.9124637542422209,1,1,0,0,1.9443029165267944,1.9855340719223022,1.7819737195968628,1.9639297723770142,2.745695114135742,0.05755952373147011,1.3030751943588257,4.788822650909424,-0.32488948106765747,0.22440949082374573,0.7048687934875488,-0.1898217797279358,-0.02925253100693226,2.3669497966766357,-1.2771320343017578,3.2432801723480225,-7.571290016174316,0.19773869216442108,1.4619598388671875,0.0034041907638311386
9,0,walk,0.5,0.010909408330917358,0.07474282383918762,1.5972311996710193,1,1,0,0,1.9696009159088135,1.992639422416687,1.6911535263061523,1.9811257123947144,2.9831793308258057,0.26624298095703125,1.5774116516113281,5.04448938369751,-1.358787178993225,-0.07118387520313263,1.6007893085479736,-0.20285114645957947,2.238389730453491,3.5531234741210938,-0.5698676109313965,-0.3850906789302826,-6.208332061767578,-0.297450453042984,3.3922088146209717,0.7347414493560791
10,0,walk,0.5,-0.04271471127867699,0.010320321656763554,2.413242437548905,1,0,0,0,1.9838318824768066,1.996291160583496,1.7166777849197388,1.9698081016540527,3.183880090713501,0.4399157762527466,1.8050267696380615,5.218845844268799,-2.156317949295044,-0.4714201092720032,2.4979333877563477,0.9345359206199646,5.57423210144043,1.7378445863723755,-0.4016258120536804,-3.6039440631866455,-4.311920642852783,-0.48419058322906494,4.486708641052246,1.4110939502716064
