step,env,gait,vx_cmd,bvx,FL_hip,FL_thigh,FL_calf,FR_hip,FR_thigh,FR_calf,RL_hip,RL_thigh,RL_calf,RR_hip,RR_thigh,RR_calf
1,0,trot,1.0,-0.08473695814609528,1.5896427631378174,7.791832447052002,-14.91421127319336,0.9693800210952759,3.370089292526245,-8.522235870361328,-1.1148070096969604,2.546881914138794,-13.544139862060547,3.927567720413208,0.15948684513568878,-7.955570220947266
1,1,trot,1.0,-0.0625886544585228,-0.8296816349029541,4.778298854827881,-9.356334686279297,-2.0469415187835693,8.826400756835938,-15.231063842773438,-2.0821542739868164,6.596399784088135,-15.550044059753418,-1.2794796228408813,8.737344741821289,-15.00954818725586
1,2,trot,1.0,0.09214334934949875,-1.538120985031128,11.779791831970215,-15.547347068786621,-1.3353527784347534,7.29982328414917,-10.957803726196289,-0.36700573563575745,5.882563591003418,-7.3592987060546875,-1.0204224586486816,11.166552543640137,-15.556882858276367
1,3,trot,1.0,0.076050765812397,-0.10077524930238724,9.968110084533691,-15.564165115356445,-1.0433024168014526,9.564950942993164,-15.560127258300781,0.12507842481136322,6.818626880645752,-9.131343841552734,0.038959093391895294,10.993131637573242,-15.550528526306152
2,0,trot,1.0,-0.12130720168352127,-0.5823620557785034,6.5016984939575195,-15.464594841003418,2.0751962661743164,2.2853801250457764,-5.9885430335998535,-2.949873685836792,-1.8509931564331055,-11.717155456542969,4.119613170623779,0.14807575941085815,-6.458888053894043
2,1,trot,1.0,-0.16018134355545044,-1.096716046333313,1.9259685277938843,-6.446835994720459,-0.21326741576194763,7.615940570831299,-15.549997329711914,-2.973292350769043,1.7390040159225464,-15.446612358093262,1.0108277797698975,1.9013246297836304,-14.096508979797363
2,2,trot,1.0,0.07537179440259933,-2.993274688720703,12.470884323120117,-13.313314437866211,0.08460333943367004,5.395455360412598,-6.859701633453369,-0.29020869731903076,3.850501775741577,-5.153420925140381,1.4774268865585327,10.983936309814453,-14.51848316192627
2,3,trot,1.0,0.07293210178613663,-1.1921412944793701,11.870965003967285,-15.370451927185059,-0.2556842565536499,8.981526374816895,-12.871454238891602,-2.1029207706451416,4.956988334655762,-6.3481364250183105,2.20125412940979,8.310904502868652,-15.178020477294922
3,0,trot,1.0,-0.10731209069490433,-2.2076053619384766,4.017601013183594,-11.883149147033691,2.9238083362579346,1.886691927909851,-3.6113531589508057,-2.7751240730285645,-3.2704668045043945,-8.629556655883789,3.6179771423339844,3.35064435005188,-7.018190383911133
3,1,trot,1.0,-0.2148972451686859,-1.6934545040130615,-0.6353621482849121,-3.874039888381958,2.323760747909546,5.3191399574279785,-14.154214859008789,-2.843778133392334,-1.5539774894714355,-11.95328140258789,0.6128802299499512,-6.684438228607178,-5.793614864349365
3,2,trot,1.0,0.03256136551499367,-2.5786285400390625,8.649160385131836,-8.465681076049805,1.7686079740524292,4.218572616577148,-3.5661213397979736,-1.2038283348083496,1.8905442953109741,-3.0856051445007324,1.2947624921798706,7.270998954772949,-9.359965324401855
3,3,trot,1.0,0.034213773906230927,-0.9762374758720398,10.943824768066406,-10.581276893615723,0.47176891565322876,3.8731606006622314,-3.6069998741149902,-2.9684231281280518,3.2077419757843018,-3.571920394897461,2.53802752494812,4.19039249420166,-11.091324806213379
4,0,trot,1.0,-0.08929773420095444,-2.2964892387390137,1.8496878147125244,-8.45005989074707,2.884688377380371,1.6911436319351196,-2.260859727859497,-2.1121551990509033,-3.412717342376709,-5.138188362121582,2.6724698543548584,6.437777519226074,-8.84953784942627
4,1,trot,1.0,-0.2259671837091446,-2.0915675163269043,-2.067255735397339,-2.3403844833374023,2.8624143600463867,3.757643699645996,-9.113753318786621,-2.120250701904297,-2.4455249309539795,-8.541557312011719,0.3510001301765442,-12.686729431152344,3.4266860485076904
4,2,trot,1.0,-0.0005271502886898816,-1.6102372407913208,3.9096553325653076,-5.709774017333984,2.2630443572998047,3.741851806640625,-1.3822417259216309,-1.5773826837539673,0.8446003794670105,-1.7087267637252808,0.5680276155471802,3.627178430557251,-5.139193058013916
