step,env,leg,contact,foot_world_x,foot_slip_vx
49,0,FL,0,0.26398003101348877,2.8403401374816895
49,0,FR,1,0.2837478518486023,-0.9965240955352783
49,0,RL,1,-0.40665024518966675,-0.24738311767578125
49,0,RR,0,-0.43253248929977417,1.5221059322357178
50,0,FL,0,0.2926851212978363,2.870509147644043
50,0,FR,1,0.2758767604827881,-0.7871091365814209
50,0,RL,1,-0.4069245755672455,-0.027433037757873535
50,0,RR,0,-0.41482263803482056,1.7709851264953613
51,0,FL,0,0.3201454281806946,2.746030807495117
51,0,FR,1,0.2706681489944458,-0.5208611488342285
51,0,RL,1,-0.4071674644947052,-0.02428889274597168
51,0,RR,0,-0.3940426707267761,2.0779967308044434
52,0,FL,0,0.3453848958015442,2.523946762084961
52,0,FR,1,0.2670615613460541,-0.36065876483917236
52,0,RL,1,-0.40737155079841614,-0.02040863037109375
52,0,RR,0,-0.3700103759765625,2.4032294750213623
53,0,FL,0,0.3680492043495178,2.2664308547973633
53,0,FR,1,0.2669171094894409,-0.014445185661315918
53,0,RL,1,-0.40753602981567383,-0.016447901725769043
53,0,RR,0,-0.34352874755859375,2.648162841796875
54,0,FL,0,0.3881241977214813,2.0074992179870605
54,0,FR,1,0.26732832193374634,0.04112124443054199
54,0,RL,1,-0.407657265663147,-0.012123584747314453
54,0,RR,0,-0.3159630298614502,2.7565717697143555
55,0,FL,0,0.40566837787628174,1.7544180154800415
55,0,FR,1,0.26778703927993774,0.045871734619140625
55,0,RL,1,-0.40772363543510437,-0.006636977195739746
55,0,RR,1,-0.2914550006389618,2.450802803039551
56,0,FL,0,0.42018091678619385,1.451253890991211
56,0,FR,1,0.2681947648525238,0.04077255725860596
56,0,RL,1,-0.407618910074234,0.010472536087036133
56,0,RR,1,-0.2900572121143341,0.13977885246276855
57,0,FL,0,0.4302521049976349,1.007118821144104
57,0,FR,1,0.26850244402885437,0.03076791763305664
57,0,RL,1,-0.40729379653930664,0.032511353492736816
57,0,RR,1,-0.2896174490451813,0.0439763069152832
58,0,FL,0,0.43587902188301086,0.5626916885375977
58,0,FR,1,0.26880383491516113,0.03013908863067627
58,0,RL,1,-0.4068628251552582,0.04309713840484619
58,0,RR,1,-0.28906744718551636,0.0550001859664917
59,0,FL,0,0.43845731019973755,0.25782883167266846
59,0,FR,1,0.2691543698310852,0.03505349159240723
59,0,RL,1,-0.40764278173446655,-0.0779956579208374
59,0,RR,1,-0.2885156273841858,0.05518198013305664
60,0,FL,0,0.4383809566497803,-0.007635354995727539
60,0,FR,1,0.268131822347641,-0.10225474834442139
60,0,RL,1,-0.4134350121021271,-0.5792230367660522
60,0,RR,1,-0.28801411390304565,0.05015134811401367
61,0,FL,1,0.4341008961200714,-0.42800605297088623
61,0,FR,0,0.26713207364082336,-0.0999748706817627
61,0,RL,1,-0.4279574155807495,-1.4522403478622437
61,0,RR,1,-0.2875726521015167,0.044146180152893066
62,0,FL,1,0.43081748485565186,-0.32834112644195557
62,0,FR,0,0.27171197533607483,0.4579901695251465
62,0,RL,0,-0.4490472078323364,-2.1089792251586914
62,0,RR,1,-0.28717076778411865,0.04018843173980713
63,0,FL,1,0.4299391508102417,-0.08783340454101562
63,0,FR,0,0.2800442576408386,0.8332282304763794
63,0,RL,0,-0.4657014012336731,-1.665419340133667
63,0,RR,1,-0.28678908944129944,0.03816783428192139
64,0,FL,1,0.42999011278152466,0.0050961971282958984
64,0,FR,0,0.28735336661338806,0.7309108972549438
64,0,RL,0,-0.470418781042099,-0.47173798084259033
64,0,RR,1,-0.286398321390152,0.039076805114746094
65,0,FL,1,0.4300053119659424,0.001519918441772461
65,0,FR,0,0.2924644947052002,0.5111128091812134
65,0,RL,0,-0.46142908930778503,0.8989691734313965
65,0,RR,1,-0.28598275780677795,0.041556358337402344
66,0,FL,1,0.4300382435321808,0.003293156623840332
66,0,FR,0,0.29884251952171326,0.6378024816513062
66,0,RL,0,-0.44069424271583557,2.0734846591949463
66,0,RR,1,-0.28555887937545776,0.04238784313201904
67,0,FL,1,0.4301551282405853,0.011688470840454102
67,0,FR,0,0.31056371331214905,1.172119379043579
67,0,RL,0,-0.4123069941997528,2.8387248516082764
67,0,RR,1,-0.28515538573265076,0.040349364280700684
68,0,FL,1,0.43041446805000305,0.02593398094177246
68,0,FR,0,0.3293275237083435,1.8763810396194458
68,0,RL,0,-0.38030222058296204,3.200477361679077
68,0,RR,1,-0.2848036587238312,0.03517270088195801
69,0,FL,1,0.43084049224853516,0.04260241985321045
69,0,FR,0,0.35420846939086914,2.4880945682525635
69,0,RL,0,-0.347458153963089,3.2844066619873047
69,0,RR,1,-0.28451794385910034,0.028571486473083496
70,0,FL,1,0.4314379394054413,0.05974471569061279
70,0,FR,0,0.3827074468135834,2.849897861480713
70,0,RL,0,-0.3153190016746521,3.2139153480529785
70,0,RR,1,-0.28429144620895386,0.022649765014648438
71,0,FL,1,0.4321884512901306,0.0750511884689331
71,0,FR,0,0.41208940744400024,2.9381961822509766
71,0,RL,0,-0.28462669253349304,3.0692310333251953
71,0,RR,1,-0.28409287333488464,0.019857287406921387
72,0,FL,1,0.4330656826496124,0.08772313594818115
72,0,FR,0,0.4403159022331238,2.8226494789123535
72,0,RL,0,-0.255494087934494,2.9132604598999023
72,0,RR,1,-0.28388264775276184,0.021022558212280273
73,0,FL,1,0.4340295195579529,0.09638369083404541
73,0,FR,0,0.46636050939559937,2.6044607162475586
73,0,RL,0,-0.2275533527135849,2.7940735816955566
73,0,RR,1,-0.28362077474594116,0.02618730068206787
74,0,FL,1,0.43505388498306274,0.10243654251098633
74,0,FR,0,0.48996981978416443,2.360930919647217
74,0,RL,0,-0.20034700632095337,2.720634698867798
74,0,RR,1,-0.28328248858451843,0.03382861614227295
75,0,FL,1,0.4361201822757721,0.10662972927093506
75,0,FR,0,0.5112828016281128,2.131298065185547
75,0,RL,1,-0.1741258203983307,2.6221184730529785
75,0,RR,1,-0.2828536629676819,0.042882561683654785
76,0,FL,1,0.4371527135372162,0.10325312614440918
76,0,FR,0,0.5302949547767639,1.9012153148651123
76,0,RL,1,-0.16774055361747742,0.6385266780853271
76,0,RR,1,-0.28225404024124146,0.05996227264404297
77,0,FL,1,0.4380509853363037,0.08982717990875244
77,0,FR,0,0.5459277033805847,1.56327486038208
77,0,RL,1,-0.1669382005929947,0.0802353024482727
77,0,RR,1,-0.28138434886932373,0.08696913719177246
78,0,FL,1,0.4388613700866699,0.0810384750366211
78,0,FR,0,0.5573720932006836,1.1444389820098877
78,0,RL,1,-0.1658836156129837,0.10545849800109863
78,0,RR,1,-0.2802947759628296,0.10895729064941406
79,0,FL,1,0.439657986164093,0.07966160774230957
79,0,FR,0,0.5651822090148926,0.7810115814208984
79,0,RL,1,-0.1647079437971115,0.11756718158721924
79,0,RR,1,-0.28083163499832153,-0.053685903549194336
80,0,FL,1,0.43827512860298157,-0.13828575611114502
80,0,FR,0,0.5708683133125305,0.568610429763794
80,0,RL,0,-0.16353854537010193,0.11693984270095825
80,0,RR,0,-0.29141122102737427,-1.0579586029052734
81,0,FL,0,0.42417919635772705,-1.4095932245254517
81,0,FR,0,0.5750038027763367,0.41354894638061523
81,0,RL,0,-0.16237056255340576,0.1167982816696167
81,0,RR,0,-0.303993821144104,-1.2582600116729736
82,0,FL,0,0.4026002883911133,-2.157890796661377
82,0,FR,0,0.5763360857963562,0.13322830200195312
82,0,RL,0,-0.16117286682128906,0.11976957321166992
82,0,RR,0,-0.3086816370487213,-0.46878159046173096
83,0,FL,0,0.3816957175731659,-2.090456962585449
83,0,FR,0,0.5722743272781372,-0.4061758518218994
83,0,RL,0,-0.1600239872932434,0.11488795280456543
83,0,RR,0,-0.3044281005859375,0.42535364627838135
84,0,FL,0,0.36590832471847534,-1.5787392854690552
84,0,FR,0,0.5611542463302612,-1.1120080947875977
84,0,RL,1,-0.15889960527420044,0.11243820190429688
84,0,RR,0,-0.2939798831939697,1.0448217391967773
85,0,FL,0,0.35804736614227295,-0.7860958576202393
85,0,FR,1,0.5549759864807129,-0.617825984954834
85,0,RL,1,-0.15850122272968292,0.03983825445175171
85,0,RR,0,-0.2822611331939697,1.171875
86,0,FL,0,0.3595062494277954,0.1458883285522461
86,0,FR,1,0.5520252585411072,-0.2950727939605713
86,0,RL,1,-0.16208301484584808,-0.3581792116165161
86,0,RR,0,-0.2727475166320801,0.9513616561889648
87,0,FL,0,0.3707665205001831,1.1260271072387695
87,0,FR,1,0.5503863096237183,-0.1638948917388916
87,0,RL,1,-0.1696312129497528,-0.7548198103904724
87,0,RR,0,-0.2645021080970764,0.8245408535003662
88,0,FL,0,0.39118823409080505,2.0421714782714844
88,0,FR,1,0.5500812530517578,-0.030505657196044922
88,0,RL,1,-0.17930957674980164,-0.9678363800048828
88,0,RR,0,-0.25449666380882263,1.0005444288253784
89,0,FL,0,0.41944923996925354,2.8261005878448486
89,0,FR,1,0.5506349802017212,0.05537271499633789
89,0,RL,1,-0.18900775909423828,-0.9698182344436646
89,0,RR,0,-0.24058249592781067,1.3914167881011963
90,0,FL,0,0.4538518190383911,3.440258026123047
90,0,FR,1,0.5512089133262634,0.05739331245422363
90,0,RL,1,-0.19612056016921997,-0.711280107498169
90,0,RR,0,-0.2227802872657776,1.780220866203308
91,0,FL,0,0.49228107929229736,3.842926025390625
91,0,FR,1,0.5517571568489075,0.0548243522644043
91,0,RL,1,-0.19801436364650726,-0.18938034772872925
91,0,RR,0,-0.20235542953014374,2.0424857139587402
92,0,FL,0,0.5324560403823853,4.017496109008789
92,0,FR,1,0.5522501468658447,0.049299001693725586
92,0,RL,1,-0.19745025038719177,0.05641132593154907
92,0,RR,0,-0.18001939356327057,2.2336034774780273
93,0,FL,0,0.5722256898880005,3.9769649505615234
93,0,FR,1,0.5530490279197693,0.07988810539245605
93,0,RL,1,-0.19685105979442596,0.05991905927658081
93,0,RR,0,-0.15492382645606995,2.509556770324707
94,0,FL,0,0.6099777817726135,3.7752091884613037
94,0,FR,1,0.5542224645614624,0.11734366416931152
94,0,RL,1,-0.19619615375995636,0.06549060344696045
94,0,RR,0,-0.12561306357383728,2.9310762882232666
95,0,FL,0,0.6281144022941589,1.813662052154541
95,0,FR,1,0.5554679036140442,0.12454390525817871
95,0,RL,1,-0.19546379148960114,0.07323622703552246
95,0,RR,0,-0.09188633412122726,3.3726730346679688
96,0,FL,0,0.6289991736412048,0.08847713470458984
96,0,FR,1,0.5567373633384705,0.12694597244262695
96,0,RL,1,-0.19466114044189453,0.0802651047706604
96,0,RR,0,-0.05513833463191986,3.674799919128418
97,0,FL,0,0.6300408840179443,0.1041710376739502
97,0,FR,1,0.5560157299041748,-0.07216334342956543
97,0,RL,1,-0.1938457190990448,0.08154213428497314
97,0,RR,0,-0.0177401602268219,3.7398173809051514
98,0,FL,0,0.6311946511268616,0.11537671089172363
98,0,FR,0,0.5469431281089783,-0.9072601795196533
98,0,RL,0,-0.19227683544158936,0.15688836574554443
98,0,RR,0,0.01870407909154892,3.6444239616394043
99,0,FL,0,0.6324116587638855,0.12170076370239258
99,0,FR,0,0.5380403995513916,-0.890272855758667
99,0,RL,0,-0.18362534046173096,0.8651494979858398
99,0,RR,0,0.052704259753227234,3.4000179767608643
100,0,FL,0,0.6336554288864136,0.12437701225280762
100,0,FR,0,0.5370301008224487,-0.10102987289428711
100,0,RL,0,-0.16783452033996582,1.5790820121765137
100,0,RR,1,0.07712306082248688,2.441880226135254
101,0,FL,0,0.6347684264183044,0.11129975318908691
101,0,FR,0,0.5478224754333496,1.079237461090088
101,0,RL,0,-0.14741894602775574,2.0415573120117188
101,0,RR,1,0.07777956128120422,0.06565004587173462
102,0,FL,1,0.6357522010803223,0.09837746620178223
102,0,FR,0,0.5687668323516846,2.094435691833496
102,0,RL,0,-0.12436526268720627,2.305368423461914
102,0,RR,1,0.07822533696889877,0.044577568769454956
103,0,FL,1,0.6366469860076904,0.0894784927368164
103,0,FR,0,0.5956354141235352,2.6868581771850586
103,0,RL,0,-0.0997125580906868,2.465270519256592
103,0,RR,1,0.07873786985874176,0.051253288984298706
104,0,FL,1,0.6374963521957397,0.08493661880493164
104,0,FR,0,0.6254425048828125,2.9807090759277344
104,0,RL,0,-0.07301689684391022,2.6695661544799805
104,0,RR,1,0.07926087081432343,0.052300095558166504
105,0,FL,1,0.6383212804794312,0.08249282836914062
105,0,FR,0,0.6569182276725769,3.1475722789764404
105,0,RL,0,-0.04409299045801163,2.892390727996826
105,0,RR,1,0.07966803759336472,0.04071667790412903
106,0,FL,1,0.6391329765319824,0.08116960525512695
106,0,FR,0,0.6893789768218994,3.246074914932251
106,0,RL,0,-0.013684950768947601,3.040803909301758
106,0,RR,1,0.07977966964244843,0.011163204908370972
107,0,FL,1,0.6399354934692383,0.08025169372558594
107,0,FR,0,0.7219535112380981,3.257453441619873
107,0,RL,0,0.017062127590179443,3.0747077465057373
107,0,RR,1,0.08018279075622559,0.040312111377716064
108,0,FL,1,0.640741229057312,0.08057355880737305
108,0,FR,0,0.753526508808136,3.157299757003784
108,0,RL,0,0.046979792416095734,2.9917664527893066
108,0,RR,1,0.08061222732067108,0.04294365644454956
109,0,FL,1,0.6422339081764221,0.14926791191101074
109,0,FR,0,0.7830378413200378,2.9511332511901855
109,0,RL,0,0.07516732811927795,2.818753480911255
109,0,RR,1,0.08102454245090485,0.041231513023376465
110,0,FL,0,0.6456973552703857,0.3463447093963623
110,0,FR,0,0.8097782135009766,2.674037218093872
110,0,RL,0,0.10114069283008575,2.597336530685425
110,0,RR,1,0.08143162727355957,0.04070848226547241
111,0,FL,0,0.6501634120941162,0.4466056823730469
111,0,FR,0,0.8335540294647217,2.3775815963745117
111,0,RL,0,0.12485399842262268,2.371330499649048
111,0,RR,1,0.08184786140918732,0.04162341356277466
112,0,FL,0,0.6543787121772766,0.42153000831604004
112,0,FR,0,0.8546172976493835,2.1063268184661865
112,0,RL,0,0.14651469886302948,2.166069984436035
112,0,RR,1,0.08228626847267151,0.04384070634841919
113,0,FL,0,0.6577105522155762,0.33318400382995605
113,0,FR,0,0.8733432292938232,1.8725931644439697
113,0,RL,0,0.16634374856948853,1.9829049110412598
113,0,RR,1,0.08276034891605377,0.04740804433822632
114,0,FL,1,0.6585545539855957,0.08440017700195312
114,0,FR,0,0.8900660276412964,1.6722798347473145
114,0,RL,0,0.18448644876480103,1.81427001953125
114,0,RR,1,0.08327465504407883,0.05143061280250549
115,0,FL,1,0.6591796875,0.06251335144042969
115,0,FR,0,0.9048420190811157,1.4775991439819336
115,0,RL,0,0.2009894847869873,1.650303602218628
115,0,RR,1,0.08382968604564667,0.05550310015678406
116,0,FL,1,0.6598076820373535,0.06279945373535156
116,0,FR,0,0.9173258543014526,1.2483835220336914
116,0,RL,0,0.21541006863117218,1.4420583248138428
116,0,RR,1,0.08441802859306335,0.0588342547416687
117,0,FL,1,0.6604442596435547,0.06365776062011719
117,0,FR,0,0.9272897243499756,0.9963870048522949
117,0,RL,0,0.22163760662078857,0.6227537989616394
117,0,RR,1,0.08505503833293915,0.06370097398757935
118,0,FL,1,0.6610368490219116,0.05925893783569336
118,0,FR,0,0.9352343082427979,0.7944583892822266
118,0,RL,0,0.22235107421875,0.07134675979614258
118,0,RR,1,0.08581291884183884,0.07578805088996887
119,0,FL,1,0.6616154909133911,0.05786418914794922
119,0,FR,0,0.9420802593231201,0.6845951080322266
119,0,RL,0,0.22315451502799988,0.08034408092498779
119,0,RR,1,0.0858350396156311,0.0022120773792266846
120,0,FL,1,0.6622211933135986,0.06057024002075195
120,0,FR,0,0.9486887454986572,0.6608486175537109
120,0,RL,0,0.22393089532852173,0.07763803005218506
120,0,RR,0,0.07738634198904037,-0.8448697328567505
121,0,FL,0,0.6633928418159485,0.11716485023498535
121,0,FR,0,0.9550120234489441,0.6323277950286865
121,0,RL,0,0.22467224299907684,0.07413476705551147
121,0,RR,0,0.06575760245323181,-1.1628739833831787
122,0,FL,0,0.6671636700630188,0.37708282470703125
122,0,FR,0,0.9591431617736816,0.4131138324737549
122,0,RL,0,0.22542017698287964,0.07479339838027954
122,0,RR,0,0.060436978936195374,-0.5320623517036438
123,0,FL,0,0.6720800399780273,0.4916369915008545
123,0,FR,0,0.9583113193511963,-0.08318424224853516
123,0,RL,0,0.2261982262134552,0.07780492305755615
123,0,RR,0,0.06370626389980316,0.3269284963607788
124,0,FL,0,0.6778377294540405,0.5757689476013184
124,0,FR,0,0.9505096673965454,-0.7801651954650879
124,0,RL,0,0.22698181867599487,0.07835924625396729
124,0,RR,0,0.07385285943746567,1.0146595239639282
125,0,FL,0,0.685767412185669,0.7929682731628418
125,0,FR,0,0.9350171089172363,-1.5492558479309082
125,0,RL,0,0.22772856056690216,0.07467418909072876
125,0,RR,0,0.08681612461805344,1.2963265180587769
126,0,FL,0,0.6974121332168579,1.1644721031188965
126,0,FR,1,0.9207359552383423,-1.4281153678894043
126,0,RL,0,0.22801585495471954,0.02872943878173828
126,0,RR,0,0.09911502152681351,1.2298896312713623
127,0,FL,0,0.7146841287612915,1.7271995544433594
127,0,FR,1,0.9201140403747559,-0.06219148635864258
