step,env,gait,vx_cmd,bvx,bvy,yaw_deg,ct_FL,ct_FR,ct_RL,ct_RR,cpg_r_FL,cpg_r_FR,cpg_r_RL,cpg_r_RR,cpg_theta_FL,cpg_theta_FR,cpg_theta_RL,cpg_theta_RR,FL_hip,FL_thigh,FL_calf,FR_hip,FR_thigh,FR_calf,RL_hip,RL_thigh,RL_calf,RR_hip,RR_thigh,RR_calf
1,0,walk,0.5,0.039370786398649216,-0.020193766802549362,-0.00023361595047411633,0,0,0,0,1.1497722864151,1.2091349363327026,1.2191237211227417,1.2339892387390137,1.4860092401504517,0.35278910398483276,4.888229846954346,3.355259895324707,1.0502769947052002,9.325224876403809,-15.54877758026123,-0.01740555465221405,9.472108840942383,-15.554455757141113,1.1158874034881592,7.913397789001465,-11.15120792388916,0.6360316872596741,7.2093353271484375,-12.899306297302246
2,0,walk,0.5,0.005774021614342928,0.001113965641707182,-0.03771150212005025,0,0,0,0,1.3088018894195557,1.4552173614501953,1.3119683265686035,1.3218377828598022,1.5326188802719116,0.17238928377628326,5.1456403732299805,3.4761524200439453,-1.6493158340454102,12.934765815734863,-15.550013542175293,1.4369122982025146,9.659353256225586,-11.836243629455566,-0.5852236151695251,3.9443609714508057,-10.725743293762207,2.7151055335998535,1.4608397483825684,-9.877922058105469
3,0,walk,0.5,-0.027846895158290863,0.007798336446285248,-0.0667151333682491,0,0,0,0,1.445248007774353,1.6528708934783936,1.2400450706481934,1.2459709644317627,1.698886752128601,0.105695441365242,5.454112529754639,3.7036092281341553,-2.3941407203674316,11.343487739562988,-13.548450469970703,1.7459983825683594,8.675263404846191,-5.166801452636719,-1.6054774522781372,0.33185532689094543,-8.07687759399414,3.375122308731079,-1.3777692317962646,-7.096832752227783
4,0,walk,0.5,-0.04923802241683006,0.003109071170911193,-0.0718162774921503,0,0,0,0,1.6251240968704224,1.792363166809082,1.3241486549377441,1.2996201515197754,1.937480092048645,0.14170514047145844,5.940394878387451,4.035574913024902,-1.2698779106140137,5.784584045410156,-8.411093711853027,1.6622904539108276,7.88394832611084,-2.0520482063293457,-2.116008996963501,-0.5915415287017822,-5.929696083068848,2.657057046890259,-1.672324538230896,-4.645308494567871
5,0,walk,0.5,-0.05818326398730278,0.003822100115939975,-0.07332341476140915,0,0,0,0,1.7413102388381958,1.8825632333755493,1.5399497747421265,1.4958921670913696,2.1556317806243896,0.1577892005443573,0.22547268867492676,4.26397705078125,-0.20366054773330688,-0.3958534002304077,-4.605264663696289,1.4304020404815674,6.674226760864258,-0.47905272245407104,-2.276197671890259,1.7776353359222412,-5.461462497711182,1.6180990934371948,-1.2572988271713257,-2.8651082515716553
6,0,walk,0.5,-0.06327588111162186,0.008492089807987213,-0.08170912615403941,0,0,0,0,1.8200478553771973,1.9359568357467651,1.7201882600784302,1.6849383115768433,2.3942172527313232,0.191128671169281,0.7027318477630615,4.497838973999023,0.07452640682458878,-5.287535190582275,-1.2762413024902344,1.1778351068496704,5.219910621643066,-0.039800673723220825,-1.9200809001922607,6.007655143737793,-7.7886505126953125,0.9497078657150269,-0.2632807195186615,-1.7868854999542236
7,0,walk,0.5,-0.07742541283369064,0.009188941679894924,-0.05236013679582519,0,0,0,0,1.8880430459976196,1.9659583568572998,1.8372173309326172,1.811367392539978,2.6531271934509277,0.25463736057281494,1.1313626766204834,4.7637939453125,-0.3002694249153137,-8.592466354370117,1.9415966272354126,0.5966875553131104,3.9368860721588135,-0.5865349769592285,-0.6608709692955017,7.005107402801514,-8.300019264221191,0.666364848613739,1.3357458114624023,-0.9945920705795288
8,0,walk,0.5,-0.09605719149112701,0.005629370454698801,0.05430470966181567,0,0,0,0,1.935160517692566,1.9822463989257812,1.8888825178146362,1.8750841617584229,2.945338726043701,0.3900708854198456,1.509914755821228,5.053354740142822,-0.8883585929870605,-10.126961708068848,4.861769199371338,0.015260113403201103,3.2371716499328613,-2.0631024837493896,0.7446388602256775,3.5020129680633545,-7.486474990844727,0.4936445355415344,3.2407872676849365,-0.03432420268654823
9,0,walk,0.5,-0.10298512876033783,-0.0019849203526973724,0.22885786785914786,0,0,0,0,1.9640759229660034,1.9908758401870728,1.8935621976852417,1.854223608970642,3.209883689880371,0.5309577584266663,1.8080086708068848,5.327914237976074,-1.344031810760498,-9.59977912902832,6.131795883178711,-0.26699233055114746,2.7675743103027344,-3.313020944595337,1.3520348072052002,-2.22723388671875,-5.547754764556885,0.4114651679992676,4.753129482269287,0.994942307472229
10,0,walk,0.5,-0.09183593094348907,-0.010813968256115913,0.422870885337241,0,0,0,0,1.980687141418457,1.9953652620315552,1.9073587656021118,1.8113938570022583,3.4637696743011475,0.6534005403518677,1.9939661026000977,5.536569595336914,-1.3513550758361816,-7.056366443634033,4.209245204925537,-0.07733635604381561,2.1854588985443115,-3.8515801429748535,0.9064884185791016,-6.264059066772461,-3.3679394721984863,0.4025043845176697,5.262644290924072,1.4804863929748535
11,0,walk,0.5,-0.06893058866262436,-0.020814405754208565,0.582190597256489,0,0,0,0,1.9898415803909302,1.9934955835342407,1.937416434288025,1.8307300806045532,3.6850881576538086,0.7708325386047363,2.12467360496521,5.662679672241211,-0.8184463977813721,-3.8773152828216553,2.3744313716888428,0.21244357526302338,1.4739910364151,-4.02064323425293,0.20435172319412231,-7.8261871337890625,-1.486310601234436,0.22001643478870392,4.985276699066162,1.5250518321990967
12,0,walk,0.5,-0.07680368423461914,-0.049051377922296524,0.6812486707066253,1,0,0,0,1.9947443008422852,1.9775081872940063,1.962082862854004,1.8844150304794312,3.8717312812805176,0.9047514796257019,2.2534384727478027,5.744672775268555,-1.107944130897522,0.6481478214263916,-4.046466827392578,0.47736144065856934,0.6501269936561584,-4.194000720977783,-0.3332315683364868,-7.986382484436035,0.13544517755508423,-0.264229416847229,4.54305362701416,1.4307332038879395
13,0,walk,0.5,-0.08648238331079483,-0.09038688242435455,0.693815631810067,1,0,0,0,1.9973161220550537,1.9702048301696777,1.9783848524093628,1.92958664894104,4.053786754608154,1.0940561294555664,2.4028871059417725,5.840651035308838,-0.7486727237701416,0.7772552371025085,-3.653244733810425,0.5957648158073425,-0.46959853172302246,-4.6275200843811035,-0.31927797198295593,-7.675271034240723,1.5681582689285278,-0.43366220593452454,3.9657816886901855,1.3991985321044922
14,0,walk,0.5,-0.29184311628341675,-0.09268856793642044,0.6049654361570734,1,0,0,1,1.9986435174942017,1.977402925491333,1.9881490468978882,1.9597266912460327,4.212795734405518,1.233477234840393,2.583003520965576,5.946734428405762,-0.11167493462562561,0.9486304521560669,-3.295179605484009,0.6456708312034607,-1.80184805393219,-4.384747505187988,-0.13808926939964294,-7.409963607788086,3.050351858139038,-0.5909414887428284,2.7442405223846436,-3.987288236618042
15,0,walk,0.5,-0.25721871852874756,-0.11045379191637039,0.3009789025223703,1,0,0,1,1.999320387840271,1.985540509223938,1.9936763048171997,1.9778705835342407,4.335564136505127,1.3432483673095703,2.714561939239502,6.037140846252441,0.7756642699241638,0.6425049304962158,-2.832859992980957,0.6180790066719055,-2.862741231918335,-3.7108407020568848,-0.2733019292354584,-6.668488025665283,3.709397077560425,-0.6453959345817566,2.377293348312378,-4.013961315155029
16,0,walk,0.5,-0.21114060282707214,-0.11358902603387833,-0.12584970391292283,1,0,0,1,1.999662160873413,1.991490364074707,1.9966922998428345,1.988173007965088,4.421406269073486,1.4186859130859375,2.8111953735351562,6.092014312744141,1.4388704299926758,0.9422722458839417,-2.554469108581543,0.5005851984024048,-3.3067870140075684,-2.9367852210998535,-0.49093249440193176,-5.543654918670654,3.7202341556549072,-0.6316291689872742,2.421186685562134,-3.807234525680542
